


X;Y;Z
-0.645902;-0.336306;2.87574
-0.645964;-0.336215;2.8768
-0.64593;-0.336214;2.87653
-0.646883;-0.336853;2.87997
-0.646668;-0.336581;2.87985
-0.645999;-0.336228;2.87681
-0.645547;-0.335914;2.87443
-0.646581;-0.336587;2.87942
-0.646279;-0.336333;2.87777
-0.646289;-0.33638;2.87807
-0.646751;-0.336607;2.88013
-0.646159;-0.336366;2.87769
-0.645889;-0.336116;2.87625
-0.646014;-0.336138;2.87644
-0.646034;-0.336359;2.87618
-0.645871;-0.33616;2.87636
-0.645319;-0.335824;2.87367
-0.646069;-0.336285;2.87701
-0.645472;-0.335971;2.87463
-0.646646;-0.336654;2.87911
-0.645631;-0.336037;2.87516
-0.645571;-0.335983;2.87462
-0.645086;-0.335671;2.87234
-0.646473;-0.336571;2.87924
-0.645577;-0.336138;2.87425
-0.646162;-0.336329;2.87764
-0.64637;-0.336348;2.87846
-0.646595;-0.336524;2.87912
-0.646155;-0.336306;2.87748
-0.646585;-0.336489;2.87918
-0.646487;-0.336463;2.87889
-0.646005;-0.336354;2.87617
-0.645834;-0.336126;2.87585
-0.646587;-0.336522;2.87944
-0.646194;-0.33648;2.87696
-0.646128;-0.336339;2.87745
-0.646949;-0.336848;2.8802
-0.646254;-0.336372;2.87814
-0.64619;-0.336279;2.87746
-0.645761;-0.336093;2.87553
-0.646202;-0.336423;2.877
-0.64592;-0.33616;2.87639
-0.645558;-0.336075;2.87393
-0.647199;-0.337041;2.88158
-0.645548;-0.335931;2.87477
-0.646997;-0.336768;2.88129
-0.647006;-0.336816;2.88053
-0.646431;-0.336532;2.87788
-0.646694;-0.336617;2.87991
-0.646223;-0.336275;2.87759
-0.647511;-0.337122;2.88257
-0.646459;-0.336388;2.87856
-0.645835;-0.33615;2.87602
-0.645831;-0.33607;2.87595
-0.646261;-0.336494;2.877
-0.645099;-0.335707;2.87263
-0.646466;-0.33644;2.87853
-0.645857;-0.336035;2.87597
-0.646994;-0.336719;2.881
-0.646307;-0.336297;2.87807
-0.646309;-0.336376;2.87796
-0.645889;-0.336096;2.87599
-0.645595;-0.335993;2.87492
-0.646767;-0.336617;2.87993
-0.646476;-0.336389;2.87857
-0.646088;-0.336207;2.877
-0.646103;-0.336208;2.87693
-0.64651;-0.336483;2.87895
-0.645662;-0.335945;2.87484
-0.64664;-0.336463;2.87932
-0.645877;-0.336112;2.87611
-0.646147;-0.336234;2.87705
-0.646199;-0.336254;2.87742
-0.646462;-0.336476;2.87867
-0.645385;-0.335852;2.87374
-0.645495;-0.335853;2.87431
-0.646139;-0.336218;2.877
-0.646817;-0.336641;2.88024
-0.646957;-0.336594;2.88076
-0.645723;-0.336001;2.87517
-0.646278;-0.336282;2.87778
-0.646018;-0.336112;2.87649
-0.646284;-0.336311;2.87766
-0.646566;-0.336385;2.87882
-0.645943;-0.336108;2.87631
-0.645312;-0.335801;2.87358
-0.646151;-0.336215;2.87698
-0.645932;-0.336152;2.8763
-0.646542;-0.336457;2.87876
-0.646175;-0.336308;2.87736
-0.646088;-0.33623;2.87683
-0.646406;-0.336404;2.87822
-0.646491;-0.336392;2.87847
-0.646645;-0.336473;2.87928
-0.646545;-0.336431;2.87871
-0.647325;-0.336853;2.8822
-0.646362;-0.336395;2.87811
-0.646724;-0.336567;2.87961
-0.64652;-0.336465;2.87883
-0.64563;-0.33599;2.87482



X;Y;Z
-0.612018;0.377417;2.86445
-0.612296;0.377524;2.86573
-0.612038;0.377414;2.8643
-0.612077;0.377397;2.86463
-0.612265;0.377513;2.86552
-0.611987;0.377346;2.86413
-0.612624;0.377778;2.86743
-0.611889;0.377254;2.86353
-0.611728;0.377184;2.86311
-0.611477;0.37704;2.86193
-0.611833;0.377218;2.8636
-0.611776;0.377197;2.86308
-0.611508;0.377027;2.8618
-0.610974;0.376759;2.85951
-0.611346;0.37693;2.86117
-0.611735;0.377168;2.86299
-0.611564;0.377077;2.86229
-0.611741;0.377157;2.86306
-0.611774;0.377225;2.86333
-0.611491;0.377026;2.86193
-0.61114;0.376843;2.86029
-0.611399;0.377003;2.86164
-0.611832;0.377286;2.86369
-0.611191;0.376867;2.86058
-0.611185;0.37684;2.86048
-0.612049;0.377402;2.86457
-0.611285;0.37688;2.8609
-0.611512;0.377002;2.86183
-0.611509;0.377066;2.86222
-0.611095;0.376799;2.85993
-0.611386;0.377014;2.86173
-0.61144;0.377021;2.86175
-0.611549;0.377129;2.86236
-0.611204;0.37689;2.86066
-0.611026;0.376732;2.85965
-0.611545;0.377069;2.86224
-0.612072;0.377373;2.86459
-0.611469;0.377055;2.86191
-0.611424;0.377003;2.86161
-0.611962;0.377337;2.86431
-0.612295;0.377535;2.86558
-0.611455;0.377021;2.86188
-0.611548;0.377101;2.86214
-0.610704;0.37654;2.85816
-0.611125;0.376827;2.86041
-0.611601;0.377078;2.8623
-0.611567;0.377112;2.8625
-0.610978;0.37672;2.85944
-0.61141;0.376988;2.86163
-0.611685;0.377155;2.8628
-0.611322;0.376926;2.861
-0.611459;0.377033;2.86186
-0.612103;0.377377;2.8646
-0.611049;0.376746;2.85979
-0.611477;0.377025;2.8618
-0.611279;0.376946;2.86095
-0.61223;0.377432;2.86523
-0.611083;0.376819;2.8601
-0.611804;0.377218;2.8634
-0.611176;0.376843;2.86039
-0.610976;0.376744;2.8595
-0.61109;0.376781;2.86005
-0.611094;0.376774;2.85986
-0.611374;0.376964;2.86133
-0.61171;0.377151;2.86275
-0.611389;0.376964;2.86146
-0.612099;0.377414;2.86467
-0.611825;0.377227;2.86344
-0.612525;0.377635;2.86655
-0.611813;0.37723;2.86338
-0.611669;0.377137;2.86276
-0.611364;0.37696;2.86128
-0.611623;0.377117;2.86261
-0.611269;0.376921;2.86089
-0.611567;0.37704;2.86215
-0.611574;0.377094;2.8622
-0.611976;0.3773;2.864
-0.611319;0.376914;2.86105
-0.612095;0.37738;2.8645
-0.611825;0.377222;2.8633
-0.610985;0.3767;2.8594
-0.611968;0.377308;2.86405
-0.611429;0.377002;2.86137
-0.611725;0.377185;2.86277
-0.61134;0.376972;2.86116
-0.612025;0.377336;2.86419
-0.61185;0.377225;2.86341
-0.611395;0.376968;2.86122
-0.612318;0.3775;2.86556
-0.612001;0.377324;2.86408
-0.611535;0.377028;2.8618
-0.611791;0.377185;2.86313
-0.611343;0.376961;2.86131
-0.611272;0.376836;2.86056
-0.611727;0.377172;2.8629
-0.611507;0.377019;2.86187
-0.611775;0.377152;2.86286
-0.611817;0.377205;2.86338
-0.610889;0.376635;2.85902
-0.611452;0.376968;2.86146



X;Y;Z
0.640651;0.328014;2.88224
0.640573;0.327954;2.88161
0.640751;0.328075;2.88255
0.641217;0.328304;2.88473
0.639929;0.327644;2.87898
0.64124;0.328324;2.88462
0.64085;0.328093;2.88299
0.642059;0.328708;2.88803
0.640727;0.328049;2.88244
0.642539;0.328952;2.89006
0.640856;0.328124;2.88287
0.641466;0.328451;2.88563
0.640704;0.328065;2.88219
0.640526;0.32795;2.88119
0.640034;0.32772;2.87925
0.639498;0.327489;2.87704
0.640169;0.327802;2.87999
0.639541;0.327483;2.87715
0.639385;0.327372;2.87643
0.639546;0.3275;2.87716
0.64031;0.327849;2.88043
0.639111;0.327269;2.87536
0.639718;0.327595;2.87811
0.640287;0.327908;2.88051
0.639859;0.327645;2.8786
0.640813;0.328074;2.8827
0.63982;0.327612;2.87842
0.639916;0.327665;2.87877
0.640645;0.32803;2.88201
0.642155;0.3287;2.88842
0.640142;0.327756;2.87974
0.640532;0.327944;2.88142
0.640283;0.327855;2.88058
0.641045;0.328197;2.88353
0.640473;0.327967;2.88143
0.640328;0.327852;2.88071
0.640341;0.327864;2.88056
0.641423;0.328364;2.88541
0.641064;0.328242;2.88375
0.640986;0.328114;2.8832
0.64057;0.327992;2.88152
0.639878;0.327632;2.87861
0.640544;0.327942;2.88141
0.640657;0.327969;2.88178
0.640313;0.327837;2.88044
0.640156;0.327749;2.8798
0.639588;0.327497;2.87751
0.640966;0.328147;2.88333
0.640981;0.328153;2.88352
0.641192;0.328217;2.88435
0.640868;0.328092;2.88296
0.640749;0.32804;2.8824
0.64037;0.327805;2.88057
0.639818;0.327539;2.87822
0.641173;0.328226;2.88419
0.64077;0.328048;2.88258
0.640138;0.327717;2.87965
0.640869;0.328081;2.88289
0.640392;0.327809;2.88089
0.640094;0.32769;2.87953
0.640514;0.327881;2.88127
0.640591;0.327906;2.88149
0.640551;0.327858;2.88132
0.639913;0.327594;2.87884
0.639395;0.327202;2.87769
0.640679;0.327928;2.88196
0.640091;0.327676;2.87944
0.64069;0.327981;2.88214
0.639695;0.32748;2.8778
0.640393;0.327828;2.88088
0.63973;0.327514;2.87796
0.639948;0.327602;2.87901
0.640674;0.32797;2.88217
0.640457;0.327843;2.88117
0.641455;0.328305;2.88533
0.640051;0.327612;2.87912
0.640027;0.327582;2.87915
0.64075;0.327944;2.88235
0.640414;0.327826;2.88092
0.639354;0.327277;2.87616
0.641666;0.328407;2.88635
0.640034;0.327613;2.87927
0.640153;0.327663;2.87985
0.640551;0.327875;2.8816
0.639952;0.32756;2.87903
0.640635;0.32788;2.88182
0.640505;0.327819;2.88111
0.640757;0.327944;2.88247
0.640248;0.327678;2.88024
0.64079;0.327952;2.88261
0.641024;0.328098;2.88359
0.640651;0.327876;2.8819
0.640755;0.327955;2.88232
0.639952;0.327547;2.87896
0.638923;0.326911;2.87543
0.640008;0.327561;2.87901
0.640684;0.327882;2.88207
0.640474;0.327819;2.88125
0.640489;0.327788;2.88111
0.641202;0.328161;2.88454



X;Y;Z
0.617615;-0.393929;2.89017
0.617142;-0.393535;2.88757
0.616372;-0.393085;2.88402
