


X;Y;Z
0.61724;-0.393667;2.88844
0.61865;-0.394547;2.89493
0.617159;-0.393633;2.888
0.616924;-0.393481;2.8867
0.617645;-0.393939;2.89037
0.618463;-0.394415;2.89402
0.618216;-0.394243;2.89286
0.617768;-0.393982;2.89087
0.615436;-0.392545;2.8798
0.617836;-0.394074;2.89121
0.617554;-0.393838;2.88983
0.617442;-0.393804;2.88929
0.618138;-0.394214;2.89241
0.61704;-0.39356;2.88746
0.616863;-0.393423;2.88653
0.616575;-0.393272;2.88532
0.619825;-0.395316;2.90066
0.618412;-0.394404;2.89397
0.61845;-0.394399;2.89399
0.618218;-0.394307;2.89335
0.617504;-0.393861;2.88993
0.617653;-0.393899;2.89033
0.617013;-0.393542;2.88752
0.617783;-0.394026;2.89122
0.618239;-0.394261;2.89285
0.616757;-0.393295;2.88556
0.618552;-0.39451;2.89499
0.616292;-0.393096;2.88406
0.61762;-0.393895;2.89032
0.617722;-0.394018;2.89101
0.618537;-0.394521;2.89472
0.617988;-0.394173;2.892
0.617484;-0.393861;2.88968
0.617542;-0.393853;2.88981
0.617613;-0.393931;2.89043
0.616801;-0.393419;2.88655
0.617348;-0.393761;2.88897
0.617797;-0.394074;2.89116
0.616963;-0.393564;2.88716
0.618203;-0.394242;2.89431
0.617863;-0.394118;2.89161
0.618609;-0.394638;2.89543
0.618171;-0.394297;2.89307
0.616427;-0.393213;2.88464
0.618022;-0.3942;2.89209
0.616993;-0.393602;2.88733
0.617262;-0.393748;2.88854
0.615212;-0.392452;2.87878
0.618935;-0.394744;2.89634
0.616471;-0.393252;2.88477
0.617934;-0.394182;2.89186
0.615996;-0.393049;2.88269
0.618205;-0.394403;2.89328
0.615768;-0.392885;2.8817
0.617337;-0.393821;2.88915
0.617667;-0.394028;2.89097
0.615704;-0.392927;2.88195
0.617407;-0.393881;2.88973
0.616342;-0.39321;2.88445
0.61752;-0.393907;2.89007
0.618722;-0.394631;2.89542
0.617162;-0.393708;2.88918
0.616443;-0.393294;2.88505
0.616405;-0.393297;2.88495
0.616141;-0.393192;2.88358
0.616716;-0.393436;2.8861
0.618562;-0.394578;2.89507
0.616234;-0.39316;2.88361
0.61629;-0.393175;2.88439
0.618669;-0.394674;2.89563
0.618146;-0.39434;2.89295
0.617082;-0.393626;2.8876
0.615989;-0.39305;2.88272
0.615424;-0.392706;2.88012
0.614822;-0.39231;2.87744
0.618629;-0.39464;2.89505
0.617363;-0.393865;2.8893
0.616411;-0.39332;2.88506
0.616794;-0.39355;2.88673
0.616237;-0.393194;2.88403
0.617174;-0.393793;2.88866
0.617861;-0.39422;2.8915
0.618148;-0.394334;2.89298
0.616885;-0.393589;2.88703
0.61573;-0.392828;2.88124
0.616286;-0.393228;2.88407
0.617601;-0.393983;2.89059
0.616414;-0.393329;2.88494
0.616123;-0.393155;2.88362
0.61806;-0.394317;2.89251
0.618428;-0.39453;2.89446
0.6178;-0.3942;2.89182
0.615468;-0.392772;2.88068
0.616213;-0.393221;2.88434
0.617249;-0.393811;2.88914
0.61592;-0.392965;2.88274
0.617261;-0.393822;2.88899



X;Y;Z
0.00370081;0.00217405;2.87293
0.00370081;0.00217405;2.87293
0.00369634;0.00212892;2.87321
0.00373018;0.00216858;2.87093
0.00371422;0.00217212;2.87221
0.00370081;0.00217405;2.87293
0.00371986;0.00213971;2.87336
0.00368293;0.00218708;2.87215
0.00371407;0.00218381;2.8699
0.00369823;0.00218213;2.86875
0.00371412;0.00216922;2.86981
0.00369808;0.00217158;2.86875
0.00371155;0.00218281;2.86788
0.00369513;0.00215371;2.86899
0.00372333;0.00216673;2.8673
0.00372666;0.0021556;2.8668
0.00372478;0.00218318;2.8672
0.00372846;0.00217454;2.86662
0.00371482;0.00217374;2.86732
0.00374438;0.00213699;2.86508
0.00371414;0.00218279;2.86504
0.0037229;0.00217852;2.86504
0.0036973;0.00217249;2.86641
0.00371105;0.00212975;2.86759
0.00371752;0.00216952;2.86682
0.00371192;0.00218451;2.86567
0.00370006;0.00215348;2.86573
0.00372943;0.00218576;2.86658
0.00374366;0.00216855;2.86542
0.00370901;0.00218155;2.86607
0.00372943;0.00218576;2.86658
0.00374366;0.00216855;2.86542
0.00372886;0.00221716;2.86685
0.00372943;0.00218576;2.86658
0.00375907;0.0021652;2.86419
0.00371239;0.00223371;2.86597
0.00374321;0.00212321;2.86517
0.00372966;0.00218832;2.86653
0.00375738;0.00218005;2.86461
0.00373873;0.00221671;2.8664
0.00372943;0.00218576;2.86658
0.00374273;0.00222852;2.86598
0.00374202;0.00221542;2.86621
0.00373964;0.00219795;2.8662
0.00372521;0.00222725;2.86506
0.00374219;0.00221574;2.866
0.00372814;0.00223546;2.86711
0.00374458;0.00220312;2.86555
0.00372658;0.00221904;2.86723
0.00374434;0.00220056;2.8656
0.00374436;0.00224277;2.86585
0.00374445;0.00221372;2.8656
0.00374015;0.00223051;2.86632
0.00374524;0.00224566;2.86575
0.00372796;0.00223027;2.86472
0.00374376;0.00223194;2.86587
0.00377387;0.00224063;2.8639
0.00372877;0.00220404;2.86685
0.00374239;0.00221818;2.86596
0.00374524;0.00224566;2.86575
0.00374138;0.00225856;2.86395
0.00374436;0.00224272;2.86585
0.0037242;0.0022456;2.86528
0.00372855;0.002241;2.86471
0.00372757;0.00226409;2.86734
0.00374376;0.00223194;2.86587
0.00376038;0.00227354;2.86476
0.00372814;0.00223541;2.86711
0.00375923;0.00225745;2.86488
0.00373128;0.00226542;2.86685
0.00374485;0.00227438;2.86599
0.00374436;0.00224272;2.86585
0.00374422;0.002295;2.8662
0.00375816;0.00227439;2.86511
0.00372814;0.00223541;2.86711
0.00375637;0.0022588;2.86544
0.00372922;0.00228036;2.86721
0.00374224;0.00225738;2.86621
0.00374323;0.00226061;2.86611
0.00372838;0.00227502;2.86731
0.00375983;0.00223935;2.86464
0.003741;0.00226497;2.86642
0.00376038;0.00227354;2.86476
0.00375776;0.00225409;2.86501
0.0037463;0.00228007;2.86584
0.00374224;0.00225738;2.86621
0.00376055;0.00230257;2.86496
0.00374524;0.00224566;2.86575
0.00377256;0.00226848;2.86422
0.00374056;0.00224315;2.86632
0.0037439;0.00227368;2.86608
0.00375776;0.00225404;2.86501
0.0037673;0.00226991;2.86471
0.00374323;0.00226061;2.86611
0.00374131;0.00227547;2.86641
0.00375342;0.00225867;2.86541
0.00373974;0.00226174;2.8665
0.0037703;0.00226931;2.86452
0.00377092;0.00225223;2.86434
0.00375717;0.00227115;2.8652
